Normalized id,Title,Author,Year,Count
ethologies_animal_environment_uexküll_heidegger_me_fb875dc3,"Onto-Ethologies: The animal environments of Uexküll, Heidegger, Merleau-Ponty, and Deleuze",,2008,13
10.5860/choice.191414,Code biology. A new science of life,,2015,13
10.5840/saap1999278324,The essential Peirce,,1998,13
10.1007/s12304-015-9243-2,"Evolution, choice, and scaffolding: Semiosisis changing its own building",Kull,2015,12
life_designer_darwin_origin_western_thought_144d9740,Life as its own designer: Darwin's origin and western thought,,2009,12
10.5860/choice.45-5558,The codes of life. The rules of macroevolution,,2008,12
collect_paper_charles_sanders_peirce_vol_c5d8a56a,"The collected papers of Charles Sanders Peirce, vols. 1-6",,1931,12
sign_introduction_semiotic_018c6f40,Signs. An introduction to semiotics,,1994,12
10.2979/1817.0,Global semiotics,,2001,12
mathematical_theory_communication_bell_system_tech_d5909ed0,A mathematical theory of communication. The Bell System Technical,Shannon,1948,12
10.1007/s12304-011-9119-z,A biosemiotic perspective of the resource criterion: Toward a general theory of resources,Farina,2012,12
ol:OLID:OL22004853W,What is life?,,1944,12
10.1098/rspb.1979.0086,The spandrels of san Marco and the Panglossian paradigm: A critique of the adaptationist programme,Gould,1978,12
evolutionary_system_biological_epistemological_per_d81c164b,Evolutionary systems: Biological and epistemological perspectives on selection and self-organization,,1998,12
10.1016/j.biosystems.2014.06.004,Evolutionary constraints or opportunities?,Sharov,2014,12
10.5860/choice.47-2994,The Routledge companion to semiotics,,2010,11
10.1038/003442a0,"The Descent of Man, and Selection in Relation to Sex",,1871,11
embodied_mind_cognitive_science_human_experience_1d7a0aa0,The embodied mind: Cognitive science and human experience,,1991,11
10.1108/03684920910962713,Cybersemiotics: Why information is not enough,,2008,11
10.5860/choice.38-1494,Dynamics in action. Intentional behavior as a complex system,,1999,11
10.5860/choice.40-6403,Readers of the book of life: contextualizing developmental evolutionary biology,,2002,11
biology_language_epistemological_reality_180c17cb,Biology of language: The epistemological reality,Lucid,1977,11
ol:OLID:OL1164449W,Foundations of the theory of signs,Morris,1938,11
ol:OLID:OL10345779W,Streifzüge durch Umwelten von Tieren und Menschen,Uexküll,1909,11
10.1007/978-1-4614-8821-7_5,Semiotic scaffolding: A biosemiotic link between sema and soma,Hoffmeyer,2014,11
semiotic_freedom_emerge_force_936c786c,Semiotic freedom: An emerging force,Favareau,1936,11
10.5860/choice.44-5632,Introduction to biosemiotics: The new biological synthesis,,2007,11
essential_peirce_select_philosophical_writings_vol_431c3e43,The Essential Peirce: Selected Philosophical Writings: Volumes 1-2,,1867,11
10.1007/s12304-022-09476-w,The biosemiotic fundamentals of aesthetics: Beauty is the perfect semiotic fitting,Kull,2022,11
10.1002/ajhb.20035,Evolution and learning: The Baldwin effect reconsidered,,2003,11
ol:OLID:OL13671624W,Peirce's theory of signs,Atkin,2013,11
semiotic_perspective_science_step_new_paradigm_30a06d59,A semiotic perspective on the sciences: Steps toward a new paradigm,Anderson,1984,11
10.1017/s0094837300004310,Exaptation-a missing term in the science of form,Gould,1982,11
universe_mind_semiotic_theory_culture_188ad435,Universe of the Mind: A Semiotic Theory of Culture,Lotman,1990,11
perception_environment_essay_livelihood_dwelling_s_35532a9e,"The perception of the environment. Essays on livelihood, dwelling and skill",Cobley,1990,11
evolve_self_reference_matter_symbol_semantic_closu_e81d21c6,"Evolving self-reference: matter, symbols, and semantic closure",Pattee,1995,11
biosemiotic_twentieth_century_view_biology_531e9778,Biosemiotics in the twentieth century: a view from biology,Köhler,1921,11
10.21236/ad0655232,The physical basis of coding and reliability in biological evolution,Pasquinelli,1968,11
10.1007/s12304-010-9097-6,Language Metaphors of Life,Markoš,2011,10
10.4135/9781483346274.n110,The extended mind,Clark,1998,10
ol:OLID:OL26599091W,Basics of semiotics,,2005,10
communication_social_bee_porpoise_sonar_man_dolphi_e1c0f9d1,"Communication among social bees, porpoises and sonar, man and dolphin. Language",,1963,10
10.1111/j.1468-5930.2011.00530.x,Essential readings in biosemiotics: Anthology and commentary,,2010,10
ol:OLID:OL8098448W,Phenomenology of Perception,,1960,10
10.12697/sss.2019.47.3-4.01,Learning and knowing as semiosis: Extending the conceptual apparatus of semiotics,Campbell,2019,10
10.1007/s12304-015-9236-1,Introduction: Semiotic scaffolding,Hoffmeyer,2015,10
ol:OLID:OL6541047W,Developmental plasticity and evolution,Waddington,1929,10
10.1111/bij.12124,Adaptive evolution without natural selection,Kull,2014,10
gene_information_semiosis_4c85c0c5,"Genes, information, and semiosis",El-Hani,2009,10
10.1007/s12304-008-9014-4,The semantic morphology of Adolf Portmann: a starting point for the biosemiotics of organic form?,Kleisner,2008,10
10.1515/sem-2013-0101,Zoosemiotics is the study of animal forms of knowing,Kull,2014,10
10.1016/0024-3841(77)90016-x,A theory of semiotics,,1976,10
10.1515/semi.2001.013,Jakob von Uexküll: An introduction,Kull,2001,10
neural_darwinism_theory_neuronal_group_selection_aaf7e7e2,Neural Darwinism: The Theory of Neuronal Group Selection,Edelman,1987,10
10.1007/978-3-030-89484-9_1,Introduction,Sharov,2021,10
10.1007/1-4020-4814-9_8,Is the cell a semiotic system?,Barbieri,2007,9
10.5860/choice.28-4342,Handbook of semiotics,,1990,9
10.1007/s12304-011-9125-1,Origin and evolution of the brain,Barbieri,2011,9
10.1017/s0140525x05000129,Understanding and sharing intentions: The origins of cultural cognition,Thompson,2005,9
anticipatory_system_philosophical_mathematical_met_261dbae7,"Anticipatory systems: Philosophical, mathematical & methodological foundations",,1985,9
10.1007/s12304-009-9066-0,Biosymbols: symbols in life and mind,Swan,2010,9
mimicry_aposematism_related_phenomenon_mimetism_na_ab6efda1,"Mimicry, aposematism and related phenomena: Mimetism in nature and the history of its study (167 pp)",,2003,9
10.1515/sem.2007.077,Semiotic interpretations of biological mimicry,Maran,2007,9
10.1093/isle/5.1.159,The spell of the sensuous: Perception and language in a more-than-human-world,,1997,9
10.1136/bmj.310.6988.1213,"Descartes' error: Emotion, reason and the human brain",,1994,9
10.1111/(issn)1467-9205,The philosophical investigations,,1953,9
10.1016/j.anbehav.2017.12.010,The evolution of beauty: How Darwin's forgotten theory of mate choice shapes the animal world-and us,Patricelli,2017,9
10.1007/s12304-008-9009-1,What is biosemiotics?,Barbieri,2008,9
10.1007/s12304-020-09375-y,Semiotic fitting and the nativeness of community,Kull,2020,9
10.1007/s12304-016-9255-6,The biosemiotic glossary project: Umwelt. Biosemiotics,,2016,9
10.1016/b978-0-12-395541-8.50006-9,How does a molecule become a message?,Pattee,1969,9
law_constraint_symbol_language_55ab3063,"Laws and constraints, symbols and languages",Pattee,1972,9
10.18772/22008014655.9,Molecular cell biology,,2000,9
10.1515/semi.1988.69.3-4.191,Material bases of signification,Prodi,1988,9
10.1093/oxfordhb/9780199541119.001.0001,The Oxford handbook of language evolution,,2012,9
10.1086/276408,A new factor in evolution,Baldwin,1896,9
10.1007/s12304-019-09364-w,"Humans on top, humans among the other animals: Narratives of ical difference",Jaroš,2019,9
ol:OLID:OL36975111W,"Reading Hoffmeyer, rethinking biology",Emmeche,2002,9
10.1007/s12304-008-9001-9,Hierarchical categorical perception in sensing and cognitive processes,Bruni,2008,9
10.1515/sem.2006.039,A semiotic analysis of the genetic information system,El-Hani,2006,9
10.1162/biot.2006.1.2.136,Reciprocal linkage between Self-organizing processes is sufficient for self-reproduction and evolvability,Deacon,2006,9
ol:OLID:OL8371501W,Course in general linguistics,,1916,8
ol:OLID:OL3066523W,Purely objective reality,Deely,1905,8
semiotic_biology_life_action_sign_3b55f8f3,Towards a semiotic biology: Life is the action of signs,Kull,1992,8
surface_inside_origin_agency_life_bd77fd90,Surfaces inside surfaces. On the origin of agency and life,Hoffmeyer,1996,8
10.5962/bhl.title.27468,The genetical theory of natural selection,,1929,8
10.1007/s12304-016-9266-3,Applying the ecoacoustic event detection and identification (EEDI) model to the analysis of acoustic complexity,Farina,2016,8
10.1525/bio.2011.61.3.6,Soundscape ecology: The science of sound in the landscape,Pijanowski,2011,8
10.1515/cogsem.2009.4.spring2009.169,"The semiotic hierarchy: Life, consciousness, signs and language",Zlatev,2009,8
origin_language_bridge_biolinguistic_biosemiotic_fb6bda35,On the origin of language: a bridge between biolinguistics and biosemiotics,Barbieri,2010,8
organism_self_read_text_anticipation_semiosis_2c334903,Organism as a self-reading text: Anticipation and semiosis,Kull,1998,8
10.1007/978-1-4020-9650-1_1,Introduction: An Evolutionary History of Biosemiotics,Favareau,2009,8
10.1007/s12304-008-9008-2,Biosemiotic questions,Kull,2008,8
10.5860/choice.37-0239,Philosophy in the flesh: The embodied mind and its challenge to western thought,,1999,8
10.1007/s12304-008-9015-3,The semiotic body,Hoffmeyer,2008,8
10.1007/s10980-011-9617-z,"Avian soundscapes and cognitive landscapes: Theory, application and ecological perspectives",Farina,2011,8
10.1093/oseo/instance.00032980,An enquiry concerning human understanding,,1748,8
10.1353/pbm.2001.0046,The ontogeny of information. Developmental systems and evolution,,2000,8
10.2307/413792,The Sign & Its Masters,Sebeok,1979,8
10.1162/1064546041255557,Autopoiesis and cognition,Bourgine,2004,8
ol:OLID:OL6332393W,Theoretische Biologie,,1920,8
10.1038/514161a,Does evolutionary theory need a rethink?,Laland,2014,8
10.5860/choice.46-3671,Origins of human communication,,2008,8
10.26530/oapen_419651,A More Developed Sign: Interpreting the Work of Jesper Hoffmeyer,,2012,8
basis_pragmaticism_e59efcc7,The basis of pragmaticism,Peirce,1906,8
ol:OLID:OL3259254W,The structure of scientific revolutions,,1970,8
think_verb_contribution_doctrine_sign_138f7154,I think I am a verb: More contributions to the doctrine of signs,,1986,8
10.1007/s12304-017-9287-6,How can the study of the humanities inform the study of biosemiotics?,Favareau,2017,8
organic_code_basic_mechanism_macroevolution_6e5b4c9b,The organic codes. The basic mechanism of macroevolution,Barbieri,1985,8
10.1036/1097-8542.189300,Developmental biology,,2006,8
10.1126/science.160.3834.1308,Life's irreducible structure,Polanyi,1968,8
10.17791/jcs.2018.19.2.195,"Mind, agency, and biosemiotics",Sharov,2018,8
10.1007/s12304-009-9062-4,Applying semiotics and information theory to biology: A critical comparison,Battail,2009,8
10.1017/cbo9780511546433,"Information theory, evolution, and the origin of life",,2005,8
10.1007/1-4020-4814-9_13,Information theory and error-correcting codes in genetics and biological evolution,Battail,2007,8
10.1007/978-1-4020-9650-1,Essential readings in biosemiotics,,2010,8
10.1111/j.1749-6632.2009.04578.x,An extended synthesis for evolutionary biology,Pigliucci,2009,7
10.1016/0022-1759(89)90234-2,The semiotics of cellular communication in the immune system,Sercarz,1988,7
10.1007/s12304-015-9250-3,"Evolution of natural agents: Preservation, advance, and emergence of functional information",Sharov,2016,7
ol:OLID:OL21521200W,On protein synthesis,Crick,1958,7
10.1007/s12304-010-9072-2,How is meaning grounded in the organism?,Swan,2010,7
10.1016/j.pbiomolbio.2015.08.010,Creation of the relevant next: How living systems capture the power of the adjacent possible through sign use,Favareau,2015,7
10.5860/choice.33-1856,The semiotic self,,1994,7
recursive_vision_ecological_understanding_gregory__cd6947b4,A recursive vision: ecological understanding and Gregory Bateson,,1995,7
time_07cc694b,Being and time,Heidegger,1996,7
10.1007/s12304-010-9093-x,"Perceive, co-opt, modify, and live! Organism as a Centre of experience",Kleisner,2011,7
10.12697/sss.2003.31.1.13,Umwelt ethics,Tønnessen,2003,7
10.1353/con.0.0010,"The whole creature: Complexity, biosemiotics and the evolution of culture",,2006,7
10.5860/choice.34-6204,"Being there: Putting brain, body, and world together again",,1997,7
ol:OLID:OL1728728W,The phenomenon of life: Toward a philosophical biology,,1965,7
epistemic_evolutionary_physical_condition_biologic_cead53f7,"Epistemic, evolutionary, and physical conditions for biological information",Palmer,2010,7
10.2307/327796,Foundations of cognitive grammar,,1987,7
ol:OLID:OL34092383W,Critique of Judgement,,1951,7
10.1002/9780470996287.part2,Critique of pure reason,,1781,7
10.1007/s12304-008-9006-4,The Landscape as a semiotic interface between organisms and resources,Farina,2008,7
10.1007/978-3-319-20663-9_5,Umwelt and language,Tønnessen,2015,7
10.12697/sss.2004.32.1-2.03,Uexküllian Planmässigkeit,Hoffmeyer,2004,7
10.1111/j.1467-9744.2010.01087.x,A biosemiotic approach to the question of meaning,Hoffmeyer,2010,7
10.1086/392891,Genetic information: A metaphor in search of a theory,Griffiths,2001,7
cycle_continency_developmental_system_evolution_f049320b,Cycles of continency. Developmental systems and evolution,,2001,7
10.1016/j.plrev.2004.01.002,Information theory in molecular biology,Adami,2004,7
10.1007/978-3-642-98976-6,Streifzüge Durch die Umwelten Von Tieren Und Menschen: Ein Bilderbuch Unsichtbarer Welten,,1934,7
stanford_encyclopedia_philosophy_ffcee9d3,The Stanford encyclopedia of philosophy,,2019,7
step_ecology_mind_collect_essay_anthropology_psych_a8cd8d15,"Steps to an ecology of mind. Collected essays in anthropology, psychiatry, evolution and epistemology",,1973,7
10.5040/9781350018266.0008,The symbolic species,,1997,7
10.12697/sss.2004.32.1-2.04,Uexküll and the post-modern evolutionism,Kull,2004,7
10.1515/9783110871388-007,Some semiotic aspects of the psycho-physical relation: The endo-exosemiotic boundary,Hoffmeyer,1992,7
10.1007/978-94-007-2336-8,The symbolic species evolved,,2012,7
ol:OLID:OL13669722W,Semiotics: The basics,,2022,7
origin_agency_life_946c7724,On the origin of agency and life,Hoffmeyer,1998,7
sense_language_primary_modeling_system_2b407a77,"In what sense is language a ""primary modeling system",Sebeok,1988,7
10.1007/978-94-007-2336-8_6,The natural history of intentionality. A biosemiotic approach,Hoffmeyer,2012,7
10.1080/14688417.2015.1058175,Semiotic scaffolding: a unitary principle gluing life and culture together,Hoffmeyer,2015,7
10.1007/s12304-012-9149-1,The Paradigms of Biology,Barbieri,2013,7
10.1007/s001140050687,Biological information transfer beyond the genetic code: the sugar code,Gabius,2000,7
10.1016/s0022-2836(61)80072-7,Genetic regulatory mechanisms in the synthesis of proteins,Jacob,1961,7
10.1038/47412,The language of covalent histone modifications,Strahl,2000,7
10.1126/science.169570,The metabolic code,Tomkins,1975,7
10.1002/1521-1878(200009)22:9<836::aid-bies9>3.3.co;2-o,Histone acetylation and an epigenetic code,Turner,2000,7
10.1515/9783110255492.659,Visual communication in animals: Applying Portmannian and Uexküllian biosemiotic approach,Kleisner,2014,7
10.1080/14640748208400875a,The question of animal awareness: evolutionary continuity of mental experience,,1981,7
cambridge_efa93cab,Cambridge,Weiss,1931,7
10.5860/choice.33-0913,Darwinism evolving: Systems dynamics and the genealogy of natural selection,,1995,7
10.2307/2762,Mimicry in plants and animals,,1968,7
10.1007/s12304-012-9152-6,Biology needs information theory,Battail,2013,7
10.1515/semi.1991.84.1-2.1,From language to nature -the semiotic metaphor in biology,Emmeche,1991,7
10.1016/j.jtbi.2010.06.017,The evolution of associative learning: A factor in the Cambrian explosion,Ginsburg,2010,7
concept_molecular_biosemiotic_evolution_be23e4f6,Concepts of molecular biosemiotics and of molecular evolution,Florkin,1974,7
biosemiotic_concept_specie_91c52f84,The biosemiotic concept of the species,Kull,2004,7
10.1146/annurev.es.13.110182.001125,A classificatory review of mimicry systems,Pasteur,1982,7
10.1007/s12304-015-9232-5,The birth of the holobiont: Multi-species birthing through mutual scaffolding and niche construction,Chiu,2015,7
10.1016/j.pbiomolbio.2015.07.005,Towards a heterarchical approach to biology and cognition,Bruni,2015,7
10.1007/s12304-010-9103-z,A mechanistic model of meaning,Barbieri,2011,6
10.1080/00221546.1988.11780234,"Women, fire, and dangerous things. What categories reveal about the mind",,1987,6
10.7551/mitpress/9780262513678.003.0001,Elements of an extended evolutionary synthesis,,2010,6
critical_companion_zoosemiotic_people_path_idea_36cd2224,"A critical companion to zoosemiotics: People, paths, ideas",,2010,6
10.5840/saap1994226925,Charles S. Peirce's evolutionary philosophy,Hausman,1993,6
10.1093/jhered/esj036,Evolution in four dimensions,,2005,6
10.1007/s12304-009-9041-9,On the nature of the subjectivity of living things,Kawade,2009,6
ecological_source_selection_avian_sound_151d9389,Ecological sources of selection on avian sounds,,1970,6
10.5860/choice.29-4184,Origins of the moden mind: Three stages in the evolution of human culture,,1991,6
10.1515/semi.2001.048,Does a robot have an Umwelt? Reflections on the qualitative biosemiotic of Jakob von Uexküll,Emmeche,2001,6
10.1007/978-94-007-5419-5_18,Minimal mind,Sharov,2013,6
10.1057/9781137413161.0007,Time and narrative,,1984,6
ol:OLID:OL3023743W,Contributions to the doctrine of signs,,1976,6
10.1016/j.thbio.2004.09.001,Semetic rings: Towards the new concept of mimetic resemblances,Kleisner,2005,6
10.12697/sss.2000.28.18,An introduction to phytosemiotics: semiotic botany and vegetative sign systems,Kull,2000,6
semiosis_umwelt_semiosphere_7f5b361e,"On semiosis, Umwelt, and Semiosphere",Kull,1998,6
10.1007/s12304-021-09428-w,The Ecosemiosphere is a grounded Semiosphere. A lotmanian conceptualization of Cultural-Ecological Systems,Maran,2021,6
10.1215/0961754x-4362691,Are we smart enough to know how smart animals are?,,2017,6
extended_organism_physiology_animal_build_structur_fe439fe9,The extended organism -the physiology of animal-built structures,Turner,1926,6
ol:OLID:OL19194198W,Evolutionary epistemology,Campbell,1974,6
10.21236/ad0616323,Aspects of the theory of syntax,,1965,6
10.1007/s12304-012-9146-4,"Anticipatory functions, digital-analog forms and Biosemiotics: Integrating the tools to model information and normativity in autonomous biological agents",Arnellos,2012,6
10.1515/sem-2013-0106,Umwelt trajectories,Tønnessen,2014,6
ol:OLID:OL22060450W,The dominant,Jakobson,1935,6
10.1007/s12304-019-09358-8,A conceptual framework for studying evolutionary origins of life-genres,Ongstad,2019,6
10.7551/mitpress/6860.003.0003,Facing up to the problem of consciousness,Chalmers,1995,6
10.1007/s12304-013-9191-7,From umwelt to soundtope: An epistemological essay on cognitive ecology,Farina,2014,6
10.1007/s12304-015-9248-x,Ecoacoustics: The ecological investigation and interpretation of environmental sound,Sueur,2015,6
10.1016/j.biosystems.2016.03.003,Coenzyme world model of the origin of life,Sharov,2016,6
ol:OLID:OL17495015W,"Supersizing the mind: Embodiment, action, and cognitive extension",,1997,6
10.1007/978-0-585-31233-0_11,Biological information: A skeptical look at some central dogmas of molecular biology,Sarkar,1996,6
10.2307/2260520,Landscape ecology,,1986,6
10.1007/s12304-015-9231-6,Semiotic scaffolding of multicellularity,Hoffmeyer,2015,6
10.1142/9781848166882_0001,Why biosemiotics? An introduction to our view on the biology of life itself,Kull,2011,6
10.1037/12853-004,The principles of psychology,,1890,6
10.2307/1420561,The senses considered as perceptual systems,Gibson,1966,6
sign_bridge_origin_d04711ee,"Signs, bridges, origins",Sebeok,2001,6
10.1007/s12304-018-9341-z,I am a fake loop: the effects of advertising-based artificial selection,Hendlin,2019,6
10.1016/j.newideapsych.2006.04.001,Functional scaffolding and self-scaffolding,Bickhard,2005,6
10.1007/978-1-4020-9650-1_20,Information and semiosis in living systems: a semiotic approach,Emmeche,2010,6
10.1515/9783110871388-019,Biosemiotics: functional-evolutionary approach to the problem of the sense of information,Sharov,1991,6
10.12697/sss.2004.32.1-2.01,Semiotics and Jakob von Uexküll's concept of umwelt,Deely,2004,6
ol:OLID:OL7941368W,Essays on life itself,,1998,6
10.1126/science.7433999,Monkey responses to three different alarm calls: evidence of predator classification and semantic communication,Seyfarth,1980,6
10.1007/bf00623322,Self-organization of matter and the evolution of biological macromolecules,Eigen,1971,6
10.1093/auk/100.2.507,"The growth of biological thought: Diversity, evolution, and inheritance",,1982,6
10.1088/0031-9112/8/1/008,An introduction to cybernetics,,1957,6
10.5860/choice.33-6227,"The fundamental concepts of metaphysics: world, finitude, solitude",,1995,6
10.3389/fpsyg.2016.01954,The transition to minimal consciousness through the evolution of associative learning,Bronfman,1954,6
10.12697/sss.2013.41.1.09,Enchantment of the past and semiocide. Remembering Ivar Puura,Maran,2013,6
10.12697/SSS.2013.41.1.10,El giro judicial del movimiento animalista y el naciente derecho de los animales no humanos en las altas cortes colombianas,Padilla,2015,6
10.1126/science.134.3489.1501,"Cause and effect in biology: Kinds of causes, predictability, and teleology are viewed by a practicing biologist",Levins,1961,6
10.1016/s0092-8240(89)80087-4,The multiple codes of nucleotide sequences,Trifonov,1989,6
cellular_memory_histone_code_ab4fc04b,Cellular memory and the Histone Code,Turner,1909,6
capability_animal_1bea815b,What capabilities for the animal?,Laland,2009,6
